Subject,Message
ZtwNwEkKlh,Didn't you get hep b immunisation in nigeria.
SDBMWfFIuy,"Fair enough, anything going on?"
aUFpdKyKtt,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
DYdVRwJmLG,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
GANycgllbG,What you thinked about me. First time you saw me in class.
GIVECDEJsj,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
BSGBAkwnut,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
iMvCcIVqAm,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
JFPjoTueQg,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
HYNlQGNSYG,"Sorry, I'll call later in meeting."
BsIuzZwbZA,Tell where you reached
whUdJLlynR,Yes..gauti and sehwag out of odi series.
ZHybonrGgM,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
SAMEPdYGOI,Ha ha ha good joke. Girls are situation seekers.
oKeQWLXeWY,Its a part of checking IQ
OSHdUJCdFw,"Sorry my roommates took forever, it ok if I come by now?"
rNtaATOzUd,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
mmcDnRzJau,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
XVhnIWkpHG,I plane to give on this month end.
nMqjCKClGn,Wah lucky man... Then can save money... Hee...
aPexMcnPTS,Finished class where are you.
MqJuWBdCFl,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
mibTwhbswZ,K..k:)where are you?how did you performed?
HbqEaRXFKi,U can call me now...
dKKzfZWwIE,I am waiting machan. Call me once you free.
dQtmxHXKNh,Thats cool. i am a gentleman and will treat you with dignity and respect.
roIVEbzYRY,I like you peoples very much:) but am very shy pa.
MFQMntsJZt,Does not operate after  &lt;#&gt;  or what
loYvLqRMnd,Its not the same here. Still looking for a job. How much do Ta's earn there.
uQGDndqBVc,"Sorry, I'll call later"
vrVPTIvtpT,K. Did you call me just now ah?
LsUNnGwBSe,Ok i am on the way to home hi hi
VEdNSiyaku,You will be in the place of that man
DFJRDwyHFV,Yup next stop.
YoHFeWgbFH,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
"
YypimqXkiC,"Ok lar... Joking wif u oni...
"
wQtubHapxu,"U dun say so early hor... U c already then say...
"
qdVnkJniha,"Nah I don't think he goes to usf, he lives around here though
"
